"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ag.2R.5239.0_at",0.466883901710183,4.6786578635936,5.32559218398528,4.02047136188112e-05,0.509508337166085,0.00801487674800416
"Ag.2L.1403.0_CDS_a_at",-0.435757845340204,3.32192351014724,-5.25332474367527,4.70949373117243e-05,0.509508337166085,-0.0657753014884603
"Ag.3L.1601.0_CDS_at",0.445104194608426,3.01385392158311,5.0714220910627,7.02929989518376e-05,0.509508337166085,-0.255272859313094
"Ag.2L.2439.0_CDS_at",0.401611782011547,2.85619808004135,4.90455873753714,0.00010178137315402,0.509508337166085,-0.433772690785414
"Pf.10.18.0_CDS_x_at",-0.409402413543628,4.50941901559326,-4.81432460859201,0.000124462210850853,0.509508337166085,-0.532123682004177
"AF352829.1_s_at",-1.23427015613102,8.66552750804405,-4.77898693918881,0.000134688717599125,0.509508337166085,-0.570983035303727
"Ag.2L.1076.0_CDS_at",0.4018005260847,3.54312165801885,4.68699297937355,0.000165501235544524,0.509508337166085,-0.6730362833629
"Ag.2L.474.0_CDS_a_at",0.368680204403141,3.29618079461724,4.55608841263857,0.00022210512883696,0.509508337166085,-0.820427749637756
"Ag.2R.2639.0_CDS_at",-0.425220695261524,3.13588694446511,-4.54329041467266,0.000228599123838484,0.509508337166085,-0.83497153230375
"Pf.2.27.0_CDS_at",-0.486568052551396,6.82002037266661,-4.53100792339895,0.00023501220462759,0.509508337166085,-0.848951554479366
"Ag.X.224.0_CDS_a_at",-0.411154481027377,3.14094269244268,-4.51046090873771,0.000246150103598179,0.509508337166085,-0.872386389405204
"Ag.2R.2027.0_CDS_at",0.429552731899142,3.84235370156662,4.4166575141586,0.000304183561873766,0.522169006535138,-0.980126453016053
"Ag.3L.1495.0_CDS_at",-0.429677965763247,3.27902308144247,-4.37781637250436,0.000332093759723491,0.522169006535138,-1.02509289982362
"Pf.13_1.507.0_CDS_at",0.570980219348277,3.5581497379117,4.36975851533898,0.00033820019460524,0.522169006535138,-1.0344469982526
"Ag.3R.2090.0_CDS_at",0.465230395856474,3.22792951994387,4.34418209647642,0.000358343296616391,0.522169006535138,-1.06419525284887
"Ag.2R.881.1_at",0.397346481952124,3.20888530489691,4.32405644309447,0.000375040938310829,0.522169006535138,-1.08766456503788
"Pf.11.345.0_CDS_at",-0.363112746601733,3.07421939396436,-4.30693010887045,0.000389866621770712,0.522169006535138,-1.10767808604591
"Ag.UNKN.1931.0_CDS_at",-0.433523116206603,2.92494767359049,-4.23924904604661,0.000454466969964141,0.57487546883964,-1.18713877046626
"Ag.3R.1524.0_CDS_at",0.340238790842687,3.04525037157419,4.18912902171231,0.000509160153616532,0.610161449352358,-1.24635338339821
"Ag.2L.479.0_CDS_a_at",0.421273276379531,3.42100420089303,4.12526870924387,0.000588544403736267,0.63289490886583,-1.32224356890576
"Ag.2R.63.0_CDS_at",0.434546302694834,3.39051339098587,4.11855880113403,0.000597576086053966,0.63289490886583,-1.33024551039288
"Pf.2.190.0_CDS_at",-1.03360774167589,8.00142864869768,-4.09894195846572,0.000624786727569492,0.63289490886583,-1.35366966120135
"Ag.2L.1677.0_CDS_at",0.447754028552837,3.85973644579209,4.08881583908533,0.000639315863846198,0.63289490886583,-1.36577842281323
"Ag.3R.980.0_CDS_at",-0.325217516161403,3.08694895600569,-4.06495770908469,0.000674902300888508,0.640285437038768,-1.39435390741057
"Ag.2L.1185.0_CDS_at",0.35686427636554,3.17393091999856,4.03753662693938,0.000718263674942408,0.647015612006264,-1.42727549663345
"Ag.3L.931.0_CDS_a_at",0.526261828681114,3.68488072492496,4.01401309915514,0.000757680321644021,0.647015612006264,-1.45558347247706
"Ag.3L.64.0_CDS_at",0.61812172043434,6.43458281903948,3.98648239319544,0.000806571812073689,0.647015612006264,-1.4887891690842
"Ag.2L.1682.0_CDS_a_at",0.395219850907601,3.75967608810273,3.95482092673226,0.000866715927545819,0.647015612006264,-1.5270754814376
