"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Pf.13_1.418.0_CDS_a_at",-0.469944939356746,3.40667504050698,-5.85323898449474,1.28942129787689e-05,0.293588335313589,1.13945829161341
"Pf.4.29.0_CDS_at",-0.626141797450223,4.60189391138502,-5.14080093696159,6.03119518370871e-05,0.645868427520526,0.319015062835732
"209312_x_at",-0.305594229405189,4.17960529037215,-4.98511798348999,8.50983917853915e-05,0.645868427520526,0.128227576141735
"Pf.2.27.0_CDS_at",-0.28983760645762,6.82002037266661,-4.67483829749022,0.000170075795393665,0.96811394632959,-0.263619568262173
"Pf.5.41.0_CDS_at",-0.366207542994537,4.28820780880934,-4.47582488072903,0.000266147522249748,0.997469446747738,-0.522606042576163
"203413_at",0.246566323845852,3.38963457594975,4.44917526267331,0.000282645728257028,0.997469446747738,-0.557712118321557
"Pf.5.142.0_CDS_at",-0.238472569118079,8.61287187923168,-4.31185751207141,0.000385541615651975,0.997469446747738,-0.740108165526482
"Ag.2R.1562.0_CDS_at",0.213476789886407,4.10257956328481,4.26168563269726,0.000431937369246015,0.997469446747738,-0.807354494363906
"Pf.2.3.0_CDS_at",-0.28599773835919,10.5463102581611,-4.23217330364671,0.000461814548408617,0.997469446747738,-0.84705486975612
"Ag.3L.1744.0_CDS_at",-0.180749235828088,3.19327958776213,-4.20376294744337,0.00049253980187359,0.997469446747738,-0.885371478239624
"Ag.3L.276.0_CDS_at",0.20439535849763,3.20024167562303,4.09457237693956,0.0006310151973127,0.997469446747738,-1.0334990539993
"Pf.14.315.0_CDS_at",-0.447027726770695,3.83928267138013,-4.0835604275629,0.000646989555779765,0.997469446747738,-1.04851095589327
"Pf.7.56.0_CDS_at",-0.459531586874268,8.19093550841668,-4.07616439293951,0.000657945656256803,0.997469446747738,-1.05860075525981
"Ag.3L.643.1_at",-0.220604230177379,2.94640335987801,-4.05036803615838,0.000697636031249882,0.997469446747738,-1.09383756034258
"Ag.2R.2987.0_CDS_at",-0.214221404227335,3.04144267331906,-4.0381970181258,0.00071718726784116,0.997469446747738,-1.11048661112598
"Pf.13_1.645.0_CDS_at",0.390794555734119,4.11993553900347,4.00491296705102,0.00077350365810448,0.997469446747738,-1.15609322821745
"Ag.3L.803.0_CDS_at",0.186365098634671,3.26708120657147,3.94429469198952,0.000887689363916621,0.997469446747738,-1.23943121845834
"Pf.5.8.0_CDS_at",-0.194358346963686,10.5340547051355,-3.93091042190521,0.00091509193804196,0.997469446747738,-1.25787827770814
"Ag.2R.1909.0_CDS_at",0.190264801830568,3.03674379762686,3.91915641757471,0.0009398532961979,0.997469446747738,-1.27409176918256
"Ag.3L.957.0_CDS_at",-0.205317756673566,3.20310269240767,-3.91214030156014,0.000954951671698636,0.997469446747738,-1.28377568985669
"Ag.2R.1891.0_CDS_at",0.16984442227195,3.57275847279482,3.89933574407444,0.000983134015725662,0.997469446747738,-1.301460226171
"Pf.5.9.0_CDS_at",-0.385621063076597,6.85171176442964,-3.8004719141018,0.00123060000845654,0.997469446747738,-1.438463245377
"Ag.3R.867.2_a_at",0.175497645027495,3.61391569912602,3.79488574194796,0.00124630531726535,0.997469446747738,-1.44622742287596
"Ag.UNKN.1909.0_CDS_at",-0.205199241926315,3.39530765466802,-3.78068059371871,0.00128714784214201,0.997469446747738,-1.4659814489199
"Ag.UNKN.1716.0_CDS_at",0.202351256264206,2.88274058815904,3.76854123101664,0.00132310536024018,0.997469446747738,-1.48287435950416
"Ag.3R.1151.0_CDS_at",-0.178255997452542,2.82188426671768,-3.75253056643343,0.00137206345366756,0.997469446747738,-1.50517046768521
"Ag.2L.2753.1_CDS_a_at",-0.188584677343077,3.36630017614659,-3.71309908687368,0.00150046083878361,0.997469446747738,-1.56015616143475
"Ag.3L.931.0_CDS_a_at",0.280481334896879,3.68488072492496,3.70545469722095,0.00152670157780569,0.997469446747738,-1.57082769852341
"Pf.10.23.0_CDS_at",-0.268394323675774,4.82919787157808,-3.69974104363424,0.00154661211234266,0.997469446747738,-1.57880633372753
"Pf.10.333.0_CDS_at",-0.414143807567018,7.84541147789826,-3.67470244468186,0.00163695151340188,0.997469446747738,-1.61379414999506
"Ag.UNKN.2148.0_CDS_s_at",0.214418860439921,3.35472814592416,3.66520750583709,0.00167256328826196,0.997469446747738,-1.62707167004013
"Ag.3R.475.1_s_at",-0.165756949364942,2.85299874278866,-3.64974542347204,0.0017322084948234,0.997469446747738,-1.64870450971118
"X15063.1_RC_x_at",-0.427749616464395,5.81206532385823,-3.63972092388997,0.0017720010765314,0.997469446747738,-1.66273675423251
"Pf.2.190.0_CDS_at",-0.525864095022321,8.00142864869768,-3.61202012660786,0.00188673651143983,0.997469446747738,-1.70153980536908
"Ag.3L.75.0_CDS_at",0.180592562115261,3.12415436144895,3.58612195880266,0.00200065325476668,0.997469446747738,-1.73785231719993
"Pf.11.98.0_CDS_at",0.248016271067325,3.26335741791861,3.57547025158057,0.00204946010813172,0.997469446747738,-1.75279644956872
"Pf.12.270.0_CDS_at",-0.347225403425919,6.46202864596493,-3.56031550926797,0.00212093818665332,0.997469446747738,-1.77406688394212
"Pf.6.3.0_CDS_at",-0.214242574512268,2.71943473535228,-3.5584236826077,0.00213003255318819,0.997469446747738,-1.77672284648246
"Pf.4.28.0_CDS_a_at",-0.278391231944242,9.21127636544459,-3.54014182875246,0.00221992900767199,0.997469446747738,-1.80239656488253
"Ag.2R.3499.0_CDS_at",-0.187940468935425,2.82065426886598,-3.52585468227274,0.00229278568683,0.997469446747738,-1.82246953946916
