"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Pf.10.55.0_CDS_at",-7.54362025168,5.04641235339681,-103.174887456269,2.57734273858022e-27,5.8683516814733e-23,41.0155083681256
"AJ290941.1_RC_s_at",-8.68563641378555,5.56635302617108,-95.9638661721216,1.00156335185095e-26,1.14022979791472e-22,40.6694371180526
"Pf.10.181.0_CDS_at",-8.45665118625612,5.52780233598869,-91.5706306448249,2.40917563487221e-26,1.82848400101351e-22,40.4249003278005
"Pf.10.18.0_CDS_x_at",-6.11907250708289,4.50941901559326,-83.0883124690085,1.48710111154469e-25,8.46495130219027e-22,39.8622433080336
"Pf.10.18.0_CDS_s_at",-6.7037750904963,4.71537261878509,-81.0719770809685,2.35534177374821e-25,1.07257553692946e-21,39.7076574619644
"Pf.10.180.0_CDS_x_at",-6.21465466090424,5.62139975477589,-60.3272017995033,5.91867659626342e-23,2.24603912367203e-19,37.4214871660462
"Pf.10.180.0_CDS_at",-6.16017182725873,6.09779572414335,-51.755500506812,1.03336336962816e-21,3.36123579472335e-18,35.9096711871788
"Pf.10.18.0_CDS_at",-5.5452681607132,4.3239637574743,-41.3568234547952,6.71765472139938e-20,1.91192850439428e-16,33.298224710694
"AJ290941.1_s_at",-5.17408328643826,4.31808927532149,-33.3358641339603,3.64727176733464e-18,9.22719231893805e-15,30.3838729997211
"M17530.1_s_at",2.35023087023461,10.5731876406523,27.1390716777929,1.60565124610544e-16,3.65590732225747e-13,27.3034425940493
"Pf.5.9.0_CDS_at",4.03453987445757,6.85171176442964,26.5081569228738,2.47023231343408e-16,5.11315632223459e-13,26.9359401238644
"Pf.2.3.0_CDS_at",2.58884828086,10.5463102581611,25.5397231327914,4.87872153878043e-16,9.25696755970763e-13,26.3490258570256
"Pf.9.23.0_CDS_at",3.3887386009688,7.22717734896554,24.8112647890048,8.27396179790948e-16,1.44915258597385e-12,25.8883554625996
"Pf.2.1.0_CDS_a_at",1.73107850255858,12.3567996929817,22.8506488693133,3.69999453452963e-15,6.01751253976466e-12,24.5592695865296
"Pf.2.37.0_CDS_at",2.66243547063817,9.61637500877174,22.6832876614188,4.22791742469727e-15,6.41769678952881e-12,24.4393639410717
"Pf.14.2.0_CDS_at",4.28357271507215,7.22904599831778,22.5878234464772,4.56400931007828e-15,6.49487049882327e-12,24.3704889491828
"Pf.5.18.0_CDS_at",2.99114132555605,9.51970093279315,22.0534595319191,7.0428366210438e-15,9.43284394262036e-12,23.9783925757216
"Pf.10.30.0_CDS_at",4.80390058753134,6.73536262802669,21.6966604106223,9.4606768927412e-15,1.19672306761569e-11,23.7102258469873
"Pf.2.27.0_CDS_at",2.00495087180834,6.82002037266661,21.5587876596833,1.06163496613033e-14,1.27222981809587e-11,23.6052014673932
"Pf.14.762.0_CDS_at",-3.74606235977213,8.24908467700701,-21.1841803300062,1.45707953723298e-14,1.65881219916289e-11,23.3158129720963
"Pf.5.8.0_CDS_at",1.53341565667751,10.5340547051355,20.6756220493838,2.25838933488586e-14,2.44863175076267e-11,22.9132577559906
"Pf.12.1.0_CDS_at",2.06511935339216,11.9236719656239,19.9365606411212,4.34702670104434e-14,4.49897504345812e-11,22.3074809527768
"Pf.5.295.0_CDS_at",1.45869087657502,9.35887356605487,19.6996482647188,5.38768568797723e-14,5.1540481129476e-11,22.1078756124372
"Pf.5.274.0_CDS_at",3.50022221114668,6.58950181479335,19.690515773677,5.43270036939446e-14,5.1540481129476e-11,22.1001271516095
"Pf.9.5.0_CDS_a_at",1.87807719623461,11.6753587845221,18.8777269344708,1.1558156719048e-13,1.05267068134402e-10,21.3939590231378
"Pf.9.55.0_CDS_at",2.93308273971427,8.10259839345719,18.197929328574,2.22371830335444e-13,1.94737854034912e-10,20.777101968039
"Pf.5.41.0_CDS_at",2.21324065361596,4.28820780880934,18.0336310633978,2.61334693116313e-13,2.20382578798716e-10,20.6242577879092
"Pf.13_1.79.0_CDS_at",2.31851541497832,9.61387978344112,17.6467111399934,3.84246120792733e-13,3.12460711583205e-10,20.2583240867695
"Pf.11.32.0_CDS_at",2.11997969026637,6.12145280543098,17.404733410379,4.90886811624455e-13,3.85413855650938e-10,20.0250980563471
"Pf.12.270.0_CDS_at",2.53356226286956,6.46202864596493,17.3187808825649,5.35898397351762e-13,4.06729020310076e-10,19.9414270395943
"X15063.1_RC_x_at",2.92588366907955,5.81206532385823,16.5975601945837,1.13646065750687e-12,8.34712022928194e-10,19.2217213850519
"Pf.5.21.0_CDS_at",2.13890046999102,6.62090618551685,16.011421746297,2.13895250161752e-12,1.52193154716654e-09,18.6126070669218
"Pf.5.223.0_CDS_at",1.7455970479494,9.96158717457904,15.6199230341456,3.30040830760224e-12,2.27718171987259e-09,18.1930266811981
"Pf.5.142.0_CDS_at",1.28785891835215,8.61287187923168,15.5239773757383,3.67582127735033e-12,2.46161101952911e-09,18.088590225725
"Pf.2.48.0_CDS_at",2.39027200383383,8.75402053639373,15.3791803473406,4.32949589738577e-12,2.81652263107361e-09,17.9297562160813
"Pf.5.41.0_CDS_x_at",3.46049673776103,5.27438095230907,15.1655057204624,5.52575950320087e-12,3.49488939245502e-09,17.6926412020129
