"","GSM253220.CEL.gz","GSM253221.CEL.gz","GSM253222.CEL.gz","GSM253223.CEL.gz","GSM253224.CEL.gz","GSM253225.CEL.gz","GSM253226.CEL.gz","GSM253227.CEL.gz","GSM253228.CEL.gz","GSM253229.CEL.gz","GSM253230.CEL.gz","GSM253231.CEL.gz","GSM253232.CEL.gz","GSM253233.CEL.gz","GSM253234.CEL.gz","GSM253235.CEL.gz","GSM253236.CEL.gz","GSM253237.CEL.gz"
"AJ290941.1_RC_s_at",11.2643957503748,11.2411758698109,11.4129553161141,11.4658357769185,11.4974813106571,11.9026184058319,2.54611240008158,2.64157174287709,2.58837116963453,2.48941901610139,2.52223342254099,2.48501703837261,2.58034635192058,2.58191386104992,2.7849198643226,2.65281275385361,2.66513043915638,2.87204398146086
"Pf.10.181.0_CDS_at",10.9612365432179,11.3122954793459,11.2487015101268,10.8104472135119,11.1207522172179,11.1415532469895,2.58068577087785,2.64595234276876,2.69553756751427,2.55719074138997,2.72229538764843,2.76892159881978,2.68612444728847,2.79276849193867,2.90349132745649,2.85931983314532,2.75118571964924,2.94198260888932
"Pf.10.55.0_CDS_at",10.20202251761,10.028161870731,10.044550204153,9.97760171273267,9.87474738808497,10.0123343142658,2.57472216000697,2.4543657943924,2.55232747048802,2.46697916050232,2.56087888001352,2.61506654865271,2.5589584475116,2.45773657131776,2.68963723119131,2.4901361768835,2.59895424835278,2.67624166425224
"Pf.10.18.0_CDS_s_at",9.31512142825235,9.11615511675667,9.24506760217116,9.03366954072837,8.87759780651428,9.01765546722158,2.50886636186472,2.50048839523496,2.52575772224872,2.52910655600316,2.54091054110459,2.50798782418193,2.38793579832411,2.66894746544963,2.53804200826041,2.39118491719447,2.43163035489719,2.74058223172341
"Pf.10.180.0_CDS_at",10.3156429880477,10.1842440202119,10.1910169471429,10.2601334738732,9.95658967973404,10.335801097618,4.12119332739186,4.385910616514,4.00537028087612,3.78934726023645,4.14882836506822,3.87868364572926,3.65329375928809,4.18192442304709,4.07308454013547,4.16926362785083,3.95128604462961,4.15870893718565
"Pf.10.180.0_CDS_x_at",9.94227376048307,9.69743641101208,9.85787616092698,9.67416872446644,9.4900676839356,9.51213243847551,3.47158271001538,3.73843096939388,3.86639005790665,3.50994406382188,3.60319658787852,3.87807764769919,3.43702334504454,3.57044697702726,3.62337064003108,3.53095900652122,3.55403072034265,3.22778768098412
"Pf.10.18.0_CDS_x_at",8.65993388782442,8.75021606479001,8.58787512748452,8.14973423864065,8.37090435693298,8.24917924389443,2.57779729872655,2.61784485468134,2.52582074101239,2.65612840181984,2.59654957261836,2.4551510194395,2.58785729721127,2.48412287014371,2.48817205592529,2.52384345070246,2.54681079525321,2.34160100357776
"Pf.14.762.0_CDS_at",10.6595786904468,10.6253029433556,10.7267350460905,10.8867820139283,10.7637201113485,10.7355536538091,9.83135889428026,9.4614174858207,9.68457629737183,9.29732343233832,9.6561424744084,9.72696903225902,4.77200511901508,4.01596801327883,3.78153339138631,4.5637457268945,4.24033917300708,5.05447268708711
"Pf.10.18.0_CDS_at",8.307741177954,8.08341420672182,7.74724436072257,7.81920064604243,8.38546880108726,7.66198355815009,2.43915396050687,2.44065062570242,2.58835343169643,2.60844103878904,2.24571865419931,2.4851632900123,2.50952621430073,2.44683290621629,2.58067338809486,2.41590025271985,2.4401952163078,2.62568590531338
"AJ290941.1_s_at",8.29373181235341,7.59905157186287,7.17477522971096,8.26970496153573,8.06371986333986,7.87149989533818,2.45347528235499,2.68463460449471,2.50715046210887,2.5701377727352,2.58167561796255,2.44615144073718,2.48304075608836,2.55370497349295,2.40861143068504,2.47243730493111,2.58481476541753,2.70728921063735
