"","106_1_Control","106_1_CQ","106_1_76I_Control","106_1_76I_CQ","106_1_76I_352K_Control","106_1_76I_352K_CQ"
"AJ290941.1_RC_s_at",11.3061756454333,11.6219784978025,2.59201843753107,2.49888982567166,2.64906002576437,2.72999572482362
"Pf.10.181.0_CDS_at",11.1740778442302,11.0242508925731,2.64072522705363,2.68280257595273,2.79412808889454,2.85082938722796
"Pf.10.55.0_CDS_at",10.091578197498,9.95489447169448,2.52713847496246,2.54764152972285,2.56877741667356,2.58844402982951
"Pf.10.18.0_CDS_s_at",9.22544804906006,8.97630760482141,2.5117041597828,2.52600164042989,2.53164175734472,2.52113250127169
"Pf.10.180.0_CDS_at",10.2303013184675,10.1841747504084,4.17082474159399,3.93895309034464,3.96943424082355,4.09308620322203
"Pf.10.180.0_CDS_x_at",9.83252877747404,9.55878961562585,3.6921345791053,3.6637394331332,3.54361365403429,3.43759246928266
"Pf.10.18.0_CDS_x_at",8.66600836003298,8.25660594648935,2.57382096480676,2.56927633129257,2.52005074109342,2.47075174984448
"Pf.14.762.0_CDS_at",10.6705388932976,10.795351926362,9.6591175591576,9.56014497966858,4.18983550789341,4.6195191956629
"Pf.10.18.0_CDS_at",8.04613324846613,7.95555100175993,2.48938600596857,2.44644099433355,2.51234416953729,2.49392712478034
"AJ290941.1_s_at",7.68918620464241,8.06830824007126,2.54842011631952,2.53265494381164,2.48178572008878,2.58818042699533
"Pf.10.30.0_CDS_at",3.66666931870942,3.35197744389944,7.86341935080704,7.80952339076486,9.07772046167449,8.64286580230489
"Pf.14.2.0_CDS_at",4.56838116259661,4.16159544526063,7.93340220771862,7.49223296428406,9.77050554761891,9.44815866242785
"Pf.5.9.0_CDS_at",4.35482904632956,3.94367963986089,7.38631430493479,6.95797636368913,9.39242353663946,9.07504769512399
"Pf.12.198.0_CDS_at",3.67635150460483,3.96349023520191,6.69056707634132,5.82364200446631,8.7835887112493,8.76188027276205
"Pf.5.41.0_CDS_x_at",3.17947742243916,2.83781806175652,5.1697254679871,4.75791811729183,8.11022285241328,7.59112379196655
"X15063.1_RC_at",4.4221726099658,4.24475854923097,6.97432800981774,6.25857199768919,9.10439625757206,8.69561467472372
"Pf.12.35.0_CDS_at",3.56231777825274,3.45349909761106,5.39210796292983,4.85150442216212,7.77650730602817,7.72037040724071
"Pf.5.274.0_CDS_at",4.3922861465366,4.0142548611286,7.31839974285514,6.92960748512227,8.46661697251142,8.4158456806061
"AF286876.1_s_at",5.76273044863842,5.39848240907254,8.89030324066089,8.80036107195923,9.29980512558501,9.44715138967891
"Pf.9.23.0_CDS_at",5.09252430420186,4.92915347026836,7.71395070247922,7.47974631226868,9.24857510786209,8.89911419671305
"X15063.1_RC_x_at",4.07535101937073,3.72572343044588,6.07600718952805,5.22319610573272,7.92646218737252,7.84565201069951
"Pf.2.13.0_CDS_at",5.08156862775156,4.84424487772567,7.19188043886707,6.64682139829254,9.00910432185761,8.55775197669839
"Pf.11.16.0_CDS_at",3.05981976077997,3.06757612111629,4.31702854436764,3.97575173629133,6.08323538819688,6.28802792989734
"Pf.12.39.0_CDS_at",5.7163238692514,5.0125604455011,7.9867750279231,7.58265905823672,8.85276250410285,8.7330920013773
"Pf.5.18.0_CDS_at",7.64520829907741,7.50415794261442,10.1339256093863,9.85017911401132,11.1387736398806,10.8459609917888
