"Rank","Feature","Importance_Rounded","Functional_Category","Gene_ID","Gene_Symbol","Gene_Description","Biological_Context"
1,"CQ_106_1_DE.CQ_106_1_DE_40",9.43,"Conserved Unknown Function","Unknown","Unknown","Unknown","Unknown"
2,"CQ_DE.CQ_DE_128",5.31,"Drug Response","PF08_0007","---","---","Chloroquine response, logFC = -0.304"
3,"Variability.Variability_Pf.12.198.0_CDS_at",4.61,"Conserved Unknown Function","Unknown","Unknown","Unknown","Unknown"
4,"CQ_DE.CQ_DE_169",4.54,"Conserved Unknown Function","Unknown","Unknown","Unknown","Unknown"
5,"Genotype_DE.Genotype_DE_88",4.17,"Other/Unclassified","PFB0435c","---","---","Genotype difference, logFC = 2.179"
6,"Variability.Variability_Pf.13_1.443.0_CDS_at",4.11,"Conserved Unknown Function","Unknown","Unknown","Unknown","Unknown"
7,"CQ_106_1_DE.CQ_106_1_DE_79",3.29,"Conserved Unknown Function","Unknown","Unknown","Unknown","Unknown"
8,"Variability.Variability_Pf.2.13.0_CDS_at",3.23,"Conserved Unknown Function","Unknown","Unknown","Unknown","Unknown"
9,"Genotype_DE.Genotype_DE_92",2.33,"Other/Unclassified","PFL1090w","---","---","Genotype difference, logFC = 0.748"
10,"Genotype_DE.Genotype_DE_184",1.97,"Conserved Unknown Function","Unknown","Unknown","Unknown","Unknown"
11,"Genotype_DE.Genotype_DE_98",1.97,"Other/Unclassified","PF14_0215","---","---","Genotype difference, logFC = 1.096"
12,"Variability.Variability_Pf.5.281.0_CDS_at",1.83,"Conserved Unknown Function","Unknown","Unknown","Unknown","Unknown"
13,"CQ_106_1_DE.CQ_106_1_DE_135",1,"Conserved Unknown Function","Unknown","Unknown","Unknown","Unknown"
