"pathway","pval","padj","NES"
"conserved Plasmodium protein, unknown function",0.00377342192922823,0.0528279070091952,1.58120239684587
"RNA-binding protein, putative",0.0339198096422669,0.168224392000519,1.58362734837701
"erythrocyte membrane protein 1, PfEMP1",0.0360480840001112,0.168224392000519,-1.51723591624416
"Plasmodium exported protein (PHISTb), unknown function",0.100616016427105,0.323699421965318,1.40384505911757
"conserved protein, unknown function",0.115606936416185,0.323699421965318,-1.22021760476664
"Plasmodium exported protein, unknown function",0.235976789168279,0.550612508059317,-1.17483742645726
"ATP synthase-associated protein, putative",0.294695481335953,0.581067961165049,-1.14570393618756
"zinc finger protein, putative",0.332038834951456,0.581067961165049,-1.10735616304496
"peptidyl-prolyl cis-trans isomerase",0.399585921325052,0.621578099838969,1.07749981136046
"acyl-CoA synthetase",0.496124031007752,0.646669120353331,0.978416451236275
"serine/threonine protein kinase, FIKK family",0.508097165991903,0.646669120353331,0.968623003582847
"conserved Plasmodium membrane protein, unknown function",0.660039761431412,0.770046388336647,-0.88636924932852
"LCCL domain-containing protein",0.901574803149606,0.904950495049505,0.620669873817926
"stevor",0.904950495049505,0.904950495049505,-0.676362976562541
