"Feature","Importance","Feature_Type"
"slogP",4.97913691979277,"QSAR"
"MW",1.89925627938647,"QSAR"
"TPSA",1.78939862472509,"QSAR"
"vsurf_W2",2.08900968720254,"QSAR"
"vsurf_CW2",1.65499312006823,"QSAR"
"npr1",1.96039403817347,"QSAR"
"pmi3",1.5052444834874,"QSAR"
"mr",6.83660090430171,"QSAR"
"apol",5.80799221354339,"QSAR"
"density",-0.642864881453751,"QSAR"
"dipole",1.30325054002404,"QSAR"
"glob",1.69458939615204,"QSAR"
"radius",-0.681680158439853,"QSAR"
"ASA",3.61148049758732,"QSAR"
"vol",3.26485745283307,"QSAR"
"CQ_DE.CQ_DE_128",5.30820479819529,"Transcriptomic_Boruta"
"CQ_DE.CQ_DE_169",4.54185949458441,"Transcriptomic_Boruta"
"Genotype_DE.Genotype_DE_88",4.17218597834563,"Transcriptomic_Boruta"
"Genotype_DE.Genotype_DE_92",2.32695780058536,"Transcriptomic_Boruta"
"Genotype_DE.Genotype_DE_98",1.9694427663938,"Transcriptomic_Boruta"
"Genotype_DE.Genotype_DE_184",1.97331320700181,"Transcriptomic_Boruta"
"CQ_106_1_DE.CQ_106_1_DE_40",9.42759884698174,"Transcriptomic_Boruta"
"CQ_106_1_DE.CQ_106_1_DE_79",3.28775290339408,"Transcriptomic_Boruta"
"CQ_106_1_DE.CQ_106_1_DE_135",0.997569262519949,"Transcriptomic_Boruta"
"Variability.Variability_Pf.12.198.0_CDS_at",4.61227607344655,"Transcriptomic_Boruta"
"Variability.Variability_Pf.2.13.0_CDS_at",3.22645575353148,"Transcriptomic_Boruta"
"Variability.Variability_Pf.13_1.443.0_CDS_at",4.10604184015598,"Transcriptomic_Boruta"
"Variability.Variability_Pf.5.281.0_CDS_at",1.82873828234492,"Transcriptomic_Boruta"
