"Selected_Feature","Feature_Type"
"CQ_DE.CQ_DE_128","Transcriptomic"
"CQ_DE.CQ_DE_169","Transcriptomic"
"Genotype_DE.Genotype_DE_88","Transcriptomic"
"Genotype_DE.Genotype_DE_92","Transcriptomic"
"Genotype_DE.Genotype_DE_98","Transcriptomic"
"Genotype_DE.Genotype_DE_184","Transcriptomic"
"CQ_106_1_DE.CQ_106_1_DE_40","Transcriptomic"
"CQ_106_1_DE.CQ_106_1_DE_79","Transcriptomic"
"CQ_106_1_DE.CQ_106_1_DE_135","Transcriptomic"
"Variability.Variability_Pf.12.198.0_CDS_at","Transcriptomic"
"Variability.Variability_Pf.2.13.0_CDS_at","Transcriptomic"
"Variability.Variability_Pf.13_1.443.0_CDS_at","Transcriptomic"
"Variability.Variability_Pf.5.281.0_CDS_at","Transcriptomic"
