#ID = Affymetrix Probe Set ID
#GB_LIST = GenBank Accession Number
#ORF = gene name
#ORGANISM = 
#Annotation Date = The date that the annotations for this probe array were last updated. It will generally be earlier than the date when the annotations were posted on the Affymetrix web site.
#Sequence Type = Indicates whether the sequence is an Exemplar, Consensus or Control sequence. An Exemplar is a single nucleotide sequence taken directly from a public database. This sequence could be an mRNA or EST. A Consensus sequence, is a nucleotide sequence assembled by Affymetrix, based on one or more sequence taken from a public database.
#Sequence Source = The database from which the sequence used to design this probe set was taken.
#Target Description = GenBank description associated with the representative public identifier. Blank for some probe sets.
#Representative Public ID = The accession number of a representative sequence. Note that for consensus-based probe sets, the representative sequence is only one of several sequences (sequence sub-clusters) used to build the consensus sequence and it is not directly used to derive the probe sequences. The representative sequence is chosen during array design as a sequence that is best associated with the transcribed region being interrogated by the probe set. Refer to the "Sequence Source" field to determine the database used.
#Gene Title = Title of Gene represented by the probe set.
#Gene Symbol = A gene symbol, when one is available (from UniGene).
#EntrezGeneId = Entrez Gene Database UID
#RefSeq Transcript ID = References to multiple sequences in RefSeq. The field contains the ID and Description for each entry, and there can be multiple entries per ProbeSet.
#Gene Ontology Biological Process = Gene Ontology Consortium Biological Process derived from LocusLink.  Each annotation consists of three parts: "Accession Number // Description // Evidence". The description corresponds directly to the GO ID. The evidence can be "direct", or "extended".
#Gene Ontology Cellular Component = Gene Ontology Consortium Cellular Component derived from LocusLink.  Each annotation consists of three parts: "Accession Number // Description // Evidence". The description corresponds directly to the GO ID. The evidence can be "direct", or "extended".
#Gene Ontology Molecular Function = Gene Ontology Consortium Molecular Function derived from LocusLink.  Each annotation consists of three parts: "Accession Number // Description // Evidence". The description corresponds directly to the GO ID. The evidence can be "direct", or "extended".
#SPOT_ID = 
ID	GB_LIST	ORF	ORGANISM	Annotation Date	Sequence Type	Sequence Source	Target Description	Representative Public ID	Gene Title	Gene Symbol	EntrezGeneId	RefSeq Transcript ID	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	SPOT_ID
AB016617.1_RC_s_at	AB016617.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF002237.1_at	AF002237.1		Anopheles gambiae	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008978.1_RC_at	AF008978.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008978.1_x_at	AF008978.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008979.1_at	AF008979.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008979.1_RC_at	AF008979.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008979.1_x_at	AF008979.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008980.1_at	AF008980.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008980.1_RC_at	AF008980.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008980.1_RC_x_at	AF008980.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008980.1_x_at	AF008980.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008981.1_RC_at	AF008981.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008981.1_x_at	AF008981.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008982.1_at	AF008982.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008982.1_RC_at	AF008982.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008983.1_at	AF008983.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
AF008983.1_x_at	AF008983.1		Plasmodium falciparum	22-Jun-11	---	---	---	---	---	---		---	---	---	---	
